Type,Category,Source,Material,Subproduct,Usage,
Organic,Seafood,Shellfish,Shellfish shells,Fertilizer,Soil amendment,
Organic,Seafood,Shellfish,Shellfish shells,Fertilizer,Plant growth,
Mechanic,Rubber,Used tires,Rubber crumb,Rubber crumb,Sports surfaces,
Mechanic,Rubber,Used tires,Rubber crumb,Rubber crumb,Playground surfaces,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Extract,Nutritional supplement,
Mechanic,Rubber,Used tires,Tire-derived fuel,Tire-derived fuel,Cement kilns,
Mechanic,Rubber,Used tires,Tire-derived oil,Tire-derived oil,Industrial lubricants,
Mechanic,Rubber,Used tires,Tire-derived oil,Tire-derived oil,Asphalt binder,
Mechanic,Glass,Tempered glass,Glass shards,Glass shards,Glass manufacturing,
Organic,Fruit,Apple,Apple Cores,Apple Peel Extract,Nutritional supplement,
Mechanic,Glass,Tempered glass,Recycled glass,Recycled glass,Glass recycling,
Mechanic,Glass,Tempered glass,Recycled glass,Recycled glass,Construction,
Mechanic,Glass,Tempered glass,Glass cullet,Glass cullet,Insulation,
Mechanic,Glass,Tempered glass,Glass cullet,Glass cullet,Filtration,
Mechanic,Metal,Used car parts,Recycled steel,Recycled steel,Metal recycling,
Mechanic,Metal,Used car parts,Recycled steel,Recycled steel,Manufacturing,
Mechanic,Metal,Used car parts,Ferrous scrap,Ferrous scrap,Steel production,
Mechanic,Metal,Used car parts,Ferrous scrap,Ferrous scrap,Construction,
Mechanic,Metal,Used car parts,Non-ferrous metals,Non-ferrous metals,Metal recycling,
Mechanic,Metal,Used car parts,Non-ferrous metals,Non-ferrous metals,Alloy production,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic pellets,Manufacturing feedstock,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic pellets,Recycling,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic film,Packaging,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic film,Construction,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic fibers,Textile production,
Mechanic,Plastic,Packaging materials,Plastic packaging,Plastic fibers,Insulation,
Mechanic,Textile,Textile waste,Recycled fabric,Recycled fabric,Textile recycling,
Mechanic,Textile,Textile waste,Recycled fabric,Recycled fabric,Upcycling,
Mechanic,Textile,Textile waste,Textile fibers,Textile fibers,Yarn,
Mechanic,Textile,Textile waste,Textile fibers,Textile fibers,Fabric production,
Mechanic,Textile,Textile waste,Textile dyes,Textile dyes,Coloring,
Mechanic,Textile,Textile waste,Textile dyes,Textile dyes,Printing,
Mechanic,Electronics,E-waste,Old cell phones,Recovered metals,Metal recycling,
Mechanic,Electronics,E-waste,Old cell phones,Recovered metals,Electronic parts,
Organic,Vegetable,Celery,Celery leaves,Celery leaf pesto,Culinary use,
Organic,Vegetable,Celery,Celery leaves,Celery leaf pesto,Sauce,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Extract,Nutritional supplement,
Organic,Vegetable,Celery,Celery leaves,Celery leaf tea,Natural remedy,
Organic,Fruit,Mango,Mango pits,Mango pit scrub,Cosmetic exfoliant,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Extract,Nutritional supplement,
Organic,Fruit,Mango,Mango pits,Mango pit fire starter,Fuel,
Organic,Fruit,Mango,Mango pits,Mango pit fire starter,Firewood alternative,
Organic,Fruit,Avocado,Avocado pits,Avocado pit ink,Ink,
Organic,Fruit,Avocado,Avocado pits,Avocado pit ink,Art supplies,
Organic,Vegetable,Onion,Onion Skins,Onion Skin Powder,Nutritional supplement,
Organic,Fruit,Mango,Mango seeds,Mango seed butter,Skincare,
Organic,Fruit,Guava,Guava peels,Guava peel tea,Health,
Organic,Fruit,Guava,Guava peels,Compost,Soil amendment,
Organic,Fruit,Guava,Guava peels,Natural dye,Textile coloring,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Extract,Skincare,
Organic,Vegetable,Squash,Squash seeds,Squash seed oil,Cooking,
Organic,Fruit,Apple,Apple Cores,Apple Seed Oil,Skincare,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Oil,Skincare,
Organic,Fruit,Passionfruit,Passionfruit husks,Passionfruit husk mulch,Soil amendment,
Organic,Fruit,Passionfruit,Passionfruit husks,Passionfruit husk mulch,Gardening,
Organic,Fruit,Passionfruit,Passionfruit husks,Pet bedding,Animal care,
Organic,Fruit,Passionfruit,Passionfruit husks,Biodegradable packaging,Sustainable packaging,
Organic,Vegetable,Artichoke,Artichoke stems,Artichoke stem soup,Culinary,
Organic,Vegetable,Artichoke,Artichoke stems,Artichoke stem soup,Cooking,
Organic,Vegetable,Artichoke,Artichoke stems,Compost,Soil amendment,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Extract,Skincare,
Organic,Vegetable,Bell Pepper,Bell Pepper Seeds,Bell Pepper Seed Oil,Skincare,
Organic,Fruit,Persimmon,Persimmon leaves,Persimmon leaf tea,Health,
Organic,Fruit,Persimmon,Persimmon leaves,Natural dye,Textile coloring,
Organic,Fruit,Persimmon,Persimmon leaves,Compost,Soil amendment,
Organic,Vegetable,Zucchini,Zucchini blossoms,Zucchini flower fritters,Snack,
Organic,Vegetable,Zucchini,Zucchini blossoms,Zucchini flower fritters,Culinary,
Organic,Vegetable,Zucchini,Zucchini blossoms,Edible garnish,Culinary,
Organic,Vegetable,Zucchini,Zucchini blossoms,Edible garnish,Decoration,
Organic,Vegetable,Zucchini,Zucchini blossoms,Infused oil,Culinary,
Organic,Vegetable,Zucchini,Zucchini blossoms,Infused oil,Aromatherapy,
Organic,Grains,Wheat,Wheat Bran,Wheat Bran Oil,Skincare,
Organic,Fruit,Papaya,Papaya seeds,Papaya seed face mask,Beauty treatment,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Butter,Skincare,
Organic,Fruit,Papaya,Papaya seeds,Digestive aid,Health,
Organic,Vegetable,Okra,Okra pods,Okra pod pickles,Food preservation,
Organic,Vegetable,Okra,Okra pods,Okra pod pickles,Culinary,
Organic,Vegetable,Okra,Okra pods,Compost,Soil amendment,
Organic,Vegetable,Okra,Okra pods,Hydrogel,Agriculture,
Organic,Fruit,Lychee,Lychee peels,Lychee peel jam,Spread,
Organic,Fruit,Lychee,Lychee peels,Lychee peel jam,Cooking,
Organic,Fruit,Lychee,Lychee peels,Natural dye,Textile coloring,
Organic,Organic,Fruit,Lychee,Lychee peels,Bioethanol,
Organic,Vegetable,Bok choy,Bok choy stalks,Bok choy stem stir-fry,Culinary,
Organic,Vegetable,Bok choy,Bok choy stalks,Bok choy stem stir-fry,Cooking,
Organic,Vegetable,Bok choy,Bok choy stalks,Compost,Soil amendment,
Organic,Vegetable,Bok choy,Bok choy stalks,Pickling,Food preservation,
Organic,Vegetable,Bok choy,Bok choy stalks,Pickling,Cooking,
Organic,Vegetable,Bok choy,Bok choy stalks,Pickling,Culinary,
Organic,Fruit,Papaya,Papaya Seeds,Papaya Seed Oil,Skincare,
Organic,Fruit,Kiwi,Kiwi Skins,Kiwi Skin Extract,Skincare,
Organic,Vegetable,Zucchini,Zucchini Seeds,Zucchini Seed Extract,Skincare,
Organic,Fruit,Pomegranate,Pomegranate peels,Pomegranate peel tea,Health,
Organic,Fruit,Pomegranate,Pomegranate peels,Potpourri,Fragrance,
Organic,Vegetable,Jicama,Jicama skin,Jicama skin salad,Culinary,
Organic,Vegetable,Jicama,Jicama skin,Jicama skin salad,Cooking,
Organic,Fruit,Guava,Guava Seeds,Guava Seed Oil,Skincare,
Organic,Vegetable,Jicama,Jicama skin,Facial scrub,Beauty treatment,
Organic,Vegetable,Jicama,Jicama skin,Compost,Soil amendment,
Mechanical,Wood,Sawdust,Sawdust,Sawdust briquettes,Fuel,
Mechanical,Wood,Sawdust,Sawdust,Compost,Soil amendment,
Mechanical,Wood,Sawdust,Sawdust,Particleboard,Construction,
Mechanical,Concrete,Pavers,Concrete paver scraps,Concrete stepping stones,Landscaping,
Mechanical,Concrete,Pavers,Concrete paver scraps,Recycled aggregate,Construction,
Mechanical,Concrete,Pavers,Concrete paver scraps,Drainage material,Infrastructure,
Mechanical,Leather,Belts,Leather belt scraps,Leather keychains,Accessories,
Organic,Fruit,Lychee,Lychee Skins,Lychee Skin Extract,Skincare,
Mechanical,Leather,Belts,Leather belt scraps,Leather bookmarks,Stationery,
Organic,Vegetable,Pumpkin,Pumpkin Seeds,Pumpkin Seed Butter,Skincare,
Mechanical,Ceramic,Porcelain,Porcelain shards,Mosaic tiles,Decoration,
Mechanical,Ceramic,Porcelain,Porcelain shards,Filler material,Manufacturing,
Organic,Vegetable,Bell pepper,Bell pepper cores,Bell pepper core salsa,Dip,
Organic,Vegetable,Bell pepper,Bell pepper cores,Bell pepper core soup,Soup,
Organic,Vegetable,Celery,Celery tops,Celery top pesto,Sauce,
Organic,Vegetable,Celery,Celery tops,Celery top broth,Cooking base,
Organic,Vegetable,Radish,Radish leaves,Radish leaf pesto,Sauce,
Organic,Vegetable,Radish,Radish leaves,Radish leaf chips,Snack,
Organic,Vegetable,Leek,Leek greens,Leek green soup,Soup,
Organic,Vegetable,Leek,Leek greens,Leek green broth,Cooking base,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end broth,Cooking base,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end chips,Snack,
Organic,Fruit,Peach,Peach Skins,Peach Skin Extract,Skincare,
Organic,Vegetable,Kale,Kale stems,Kale stem chips,Snack,
Organic,Vegetable,Brussels Sprouts,Brussels sprouts stems,Brussels sprout stem chips,Snack,
Organic,Vegetable,Brussels Sprouts,Brussels sprouts stems,Brussels sprout stem soup,Soup,
Organic,Vegetable,Turnip,Turnip tops,Turnip top salad,Salad,
Organic,Vegetable,Turnip,Turnip tops,Turnip top chips,Snack,
Organic,Vegetable,Spinach,Spinach roots,Spinach root chips,Snack,
Organic,Vegetable,Spinach,Spinach roots,Spinach root soup,Soup,
Organic,Fruit,Plum,Plum Pits,Plum Pit Oil,Skincare,
Organic,Vegetable,Artichoke,Artichoke leaves,Artichoke leaf chips,Snack,
Organic,Vegetable,Garlic,Garlic skins,Garlic skin powder,Seasoning,
Organic,Vegetable,Garlic,Garlic skins,Garlic skin broth,Cooking base,
Organic,Fruit,Mango,Mango peels,Mango peel jam,Spread,
Organic,Fruit,Mango,Mango peels,Mango peel chips,Snack,
Organic,Fruit,Papaya,Papaya seeds,Papaya seed face mask,Skincare,
Organic,Fruit,Pineapple,Pineapple cores,Pineapple core jam,Spread,
Organic,Vegetable,Carrot,Carrot tops,Carrot top pesto,Sauce,
Organic,Vegetable,Carrot,Carrot tops,Carrot top chips,Snack,
Organic,Vegetable,Beet,Beet greens,Beet green chips,Snack,
Organic,Fruit,Pomegranate,Pomegranate peels,Pomegranate peel powder,Skincare,
Organic,Vegetable,Cauliflower,Cauliflower leaves,Cauliflower leaf wraps,Food packaging,
Organic,Vegetable,Cauliflower,Cauliflower leaves,Cauliflower leaf soup,Soup,
Organic,Vegetable,Broccoli,Broccoli stalks,Broccoli stalk pesto,Sauce,
Organic,Vegetable,Broccoli,Broccoli stalks,Broccoli stalk chips,Snack,
Organic,Vegetable,Broccoli,Broccoli leaves,Broccoli leaf stir-fry,Stir-fry,
Organic,Vegetable,Broccoli,Broccoli leaves,Broccoli leaf chips,Snack,
Organic,Vegetable,Tomato,Tomato vines,Tomato vine pesto,Sauce,
Organic,Vegetable,Tomato,Tomato vines,Tomato vine pesto,Dip,
Organic,Vegetable,Jicama,Jicama skin,Facial scrub,Skincare,
Organic,Vegetable,Tomato,Tomato vines,Tomato vine tea,Marinade,
Organic,Vegetable,Cauliflower,Cauliflower stems,Cauliflower stem rice,Side dish,
Organic,Vegetable,Cauliflower,Cauliflower stems,Cauliflower stem rice,Stir-fry,
Organic,Vegetable,Cauliflower,Cauliflower stems,Cauliflower stem curry,Main course,
Organic,Vegetable,Cauliflower,Cauliflower stems,Cauliflower stem curry,Soup,
Organic,Vegetable,Bell Pepper,Bell pepper seeds,Bell pepper seed seasoning,Seasoning,
Organic,Vegetable,Bell Pepper,Bell pepper seeds,Bell pepper seed seasoning,Rub,
Organic,Vegetable,Bell Pepper,Bell pepper seeds,Bell pepper seed oil,Culinary ingredient,
Organic,Vegetable,Bell Pepper,Bell pepper seeds,Bell pepper seed oil,Skincare,
Organic,Vegetable,Cucumber,Cucumber peels,Cucumber peel face mask,Skincare,
Organic,Fruit,Avocado,Avocado seeds,Avocado seed oil,Skincare,
Organic,Vegetable,Cucumber,Cucumber peels,Cucumber peel pickles,Condiment,
Organic,Vegetable,Cucumber,Cucumber peels,Cucumber peel pickles,Sandwich topping,
Organic,Vegetable,Beetroot,Beetroot peels,Beetroot peel dye,Textile dyeing,
Organic,Vegetable,Beetroot,Beetroot peels,Beetroot peel dye,Easter egg coloring,
Organic,Vegetable,Beetroot,Beetroot peels,Beetroot peel chips,Snack,
Organic,Vegetable,Beetroot,Beetroot peels,Beetroot peel chips,Garnish for dishes,
Organic,Vegetable,Radish,Radish tops,Radish top pesto,Sauce,
Organic,Vegetable,Radish,Radish tops,Radish top pesto,Dip,
Organic,Vegetable,Radish,Radish tops,Radish top salad,Salad,
Organic,Vegetable,Turnip,Turnip peels,Turnip peel soup,Soup,
Organic,Vegetable,Turnip,Turnip peels,Turnip peel chips,Snack,
Organic,Fruit,Strawberry,Peel,Compost,Soil Amendment,
Organic,Vegetable,Spinach,Spinach stalks,Spinach stalk smoothie,Base for green smoothies,
Organic,Vegetable,Spinach,Spinach stalks,Spinach stalk soup,Soup,
Organic,Vegetable,Kale,Kale stems,Kale stem salad,Salad,
Organic,Vegetable,Kale,Kale stems,Kale stem salad,Coleslaw,
Organic,Vegetable,Kale,Kale stems,Kale stem chips,Snack,
Organic,Vegetable,Broccoli,Broccoli stems,Broccoli stem slaw,Side dish,
Organic,Vegetable,Broccoli,Broccoli stems,Broccoli stem slaw,Coleslaw,
Organic,Vegetable,Broccoli,Broccoli stems,Broccoli stem soup,Soup,
Organic,Vegetable,Leek,Leek greens,Leek green omelette,Breakfast,
Organic,Vegetable,Leek,Leek greens,Leek green omelette,Quiche,
Organic,Vegetable,Leek,Leek greens,Leek green soup,Soup,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end quiche,Main course,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end quiche,Breakfast,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end broth,Cooking base,
Organic,Vegetable,Asparagus,Asparagus ends,Asparagus end broth,Soup,
Organic,Food,Eggs,Eggshells,Calcium supplement,Soil amendment,
Organic,Food,Eggs,Eggshells,Calcium supplement,Garden fertilizer,
Organic,Food,Eggs,Eggshells,Abrasive cleaner,Household cleaning,
Organic,Food,Eggs,Eggshells,Abrasive cleaner,Scouring agent,
Organic,Animal,Fish,Fish Scraps,Fish emulsion,Organic fertilizer,
Organic,Animal,Fish,Fish Scraps,Fish emulsion,Plant nutrient source,
Organic,Fruit,Strawberry,Peel,Flavoring Extract,Culinary,
Organic,Animal,Fish,Fish Scraps,Fish oil,Omega-3 source,
Organic,Animal,Meat,Meat Trimmings,Bone broth,Cooking base,
Organic,Animal,Meat,Meat Trimmings,Bone broth,Soup stock,
Organic,Fruit,Strawberry,Peel,Dye,Textile Dyeing,
Organic,Animal,Meat,Meat Trimmings,Pet food,Reducing food waste,
Organic,Food,Nuts,Nut Shells,Walnut shell powder,Abrasive cleaner,
Organic,Food,Nuts,Nut Shells,Walnut shell powder,Cosmetic ingredient,
Organic,Food,Nuts,Nut Shells,Nut shell mulch,Gardening,
Organic,Food,Nuts,Nut Shells,Nut shell mulch,Soil moisture retention,
Organic,Food,Nuts,Nut Shells,Fire starters,Fireplace accessory,
Organic,Food,Nuts,Nut Shells,Fire starters,BBQ grill starter,
Organic,Fruit,Strawberry,Peel ,Puree,Culinary,
Organic,Herbs,Tea,Tea Bags,Used tea leaves,Plant fertilizer,
Organic,Herbs,Tea,Tea Bags,Tea leaf mulch,Gardening,
Organic,Herbs,Tea,Tea Bags,Tea leaf mulch,Soil enrichment,
Organic,Fruit,Strawberry,Pulp,Jam,Culinary,
Organic,Fruit,Strawberry,Pulp,Juice,Beverage,
Organic,Fruit,Strawberry, Pulp,Flavoring Extract,Culinary,
Organic,Fruit,Strawberry,Trim,Compost,Soil Amendment,
Organic,Fruit,Strawberry,Trim,Animal Feed,Livestock Feed,
Organic,Fruit,Strawberry,Trim,Biomass,Bioenergy,
Organic,Fruit,Strawberry,Stems,Compost,Soil Amendment,
Organic,Fruit,Strawberry,Stems,Tea,Beverage,
Organic,Fruit,Strawberry,Stems,Flavoring,Culinary,
Organic,Fruit,Kiwi,Peel,Jam,Culinary,
Organic,Fruit,Kiwi,Peel,Preserves,Culinary,
Organic,Fruit,Kiwi,Pulp,Puree,Culinary,
Organic,Fruit,Kiwi,Seeds,Extract,Dietary,
Organic,Fruit,Kiwi,Seeds,Oil,Cooking,
Organic,Fruit,Kiwi,Stems,Flavoring,Culinary,
Organic,Fruit,Kiwi,Leaves,Tea,Beverage,
Organic,Fruit,Kiwi,Leaves,Flavoring,Culinary,
Organic,Fruit,Kiwi,Trimmings,Compost,Soil Amendment,
Organic,Fruit,Peach,Seed,Oil,Cooking,
Organic,Fruit,Peach,Seed,Extract,Dietary,
Organic,Fruit,Peach,Leaves,Flavoring,Culinary,
Organic,Fruit,Peach,Leaves,Tea,Beverage,
Organic,Beverage ,Coffee ,Coffee Grounds,Biochar,Soil amendment,
Organic,Beverage ,Coffee ,Coffee Grounds,Biochar,Water Filtration,
Organic,Beverage ,Coffee ,Coffee Grounds,Mushroom Cultivation,Agriculture,
Organic,Beverage ,Coffee ,Coffee Grounds,Compost,Soil amendment,
Organic,Beverage ,Coffee ,Coffee Grounds,Caffeine,Pharmaceuticals,
Organic,Vegetable,Tomatoes,Tomato skins,Lycopene,Dietary supplements,
Organic,Vegetable,Tomatoes,Tomato skins,Natural dyes,Cosmestics ,
Organic,Vegetable,Tomatoes,Tomato skins,Natural dyes,Food coloring,
Organic,Vegetable,Carrots,Peels,Pectin,Thickening agents,
Organic,Vegetable,Carrots,Peels,Natural dyes,Textile Industry ,
Organic,Vegetable,Carrots,Peels,Natural dyes,Food coloring,
Organic,Grains,Wheat,Bran,Fiber supplements,Dietary supplements,
Organic,Grains,Wheat,Bran,Animal feed,Livestock nutrition,
Organic,Grains,Rice,Husks ,Bio-char,Soil amendments ,
Organic,Grains,Rice,Husks ,Bio-char ,Carbon sequestration,
Organic,Grains,Rice,Husks,Silica,Industrial applications ,
Organic,Dairy,Milk,Whey,Protein supplements,Sports nutrition,
Organic,Dairy,Milk,Whey ,Protein supplements ,Food Additives,
Organic,Dairy,Milk,Whey,Lactose,Food and pharmaceutical industries,
Organic,Meat,Bones,Bone meal,Animal feed,Livestock nutrition,
Organic,Meat,Bones,Bone meal,Fertilizer,Soil enrichment,
Organic,Meat,Fat,Rendered fat,Biofuel,Renewable energy source,
Organic,Meat,Fat,Rendered fat,Soap,Cleaning products,
Organic,Seafood,Fish,Fish scales,Collagen,Cosmetics,
Organic,Seafood,Fish ,Fish scales,Collagen ,Pharmaceuticals ,
Organic,Seafood,Fish,Fish scales,Bio-plastics,Sustainable packaging,
Organic,Fruit,Grapes,Grape skins,Resveratrol,Nutritional supplements,
Organic,Fruit,Grapes,Grape skins,Natural dyes,Food coloring,
Organic,Fruit,Pineapples,Pineapple cores,Bromelain,Medical Uses ,
Organic,Fruit,Pineapples,Pineapple cores,Bromelain,Dietary supplements,
Organic,Fruit,Pineapples,Pineapple leaves,Natural fibers,Textiles,
Organic,Fruit,Avocados,Avocado pits,Avocado oil,"Cosmetics, culinary uses",
Organic,Fruit,Avocados,Avocado pits ,Avocado oil,Culinary uses,
Organic,Fruit,Avocados,Avocado skins,Natural dyes,Textile industry,
Organic,Vegetable,Cucumbers,Cucumber peels,Natural dyes,Food coloring,
Organic,Vegetable,Cucumbers,Cucumber peels,Animal feed,Livestock nutrition,
Organic,Vegetable,Lettuce,Lettuce leaves,Compost,Soil amendment,
Organic,Vegetable,Lettuce,Lettuce leaves,Animal feed,Livestock nutrition,
Organic,Vegetable,Peppers,Pepper seeds,Pepper oil,Natural pesticides,
Organic,Vegetable,Peppers,Pepper skins,Natural dyes,Cosmetics,
Organic,Grains,Barley,Barley husks,Bioethanol,Renewable fuel,
Organic,Grains,Barley,Barley husks,Animal feed,Livestock nutrition,
Organic,Grains,Corn,Corn cobs,Biofuel,Renewable energy source,
Organic,Grains,Corn,Corn husks,Natural fibers,Biodegradable composites,
Organic,Grains,Corn,Corn husks ,Natural fibers,Textiles,
Organic,Grains,Oats,Oat hulls,Biofuel,Renewable energy source,
Organic,Grains,Oats,Oat hulls,Animal feed,Livestock nutrition,
Organic,Dairy,Cheese,Whey,Whey protein,Dietary supplements,
Organic,Dairy,Cheese,Whey,Lactose,Food products ,
Organic,Hides ,Leather,Leather scraps,Gelatin,Pharmaceuticals,
Organic,Hides ,Leather,Leather scraps,Gelatin,Cosmetics ,
Organic,Hides ,Leather,Leather scraps,Bio-composites,Sustainable materials,
Organic,Seafood,Shellfish,Shellfish shells,Chitosan,Water purification,
Organic,Seafood,Shellfish,Shellfish shells,Chitosan,Medical Applications,
Organic,Seafood,Shellfish,Shellfish shells,Calcium carbonate,Food additives,
Organic,Grains,Sorghum,Sorghum husks,Biofuel,Renewable energy source,
Organic,Grains,Sorghum,Sorghum husks,Animal feed,Livestock nutrition,
Organic,Dairy,Butter,Butter whey,Lactose,Food and pharmaceutical industries,
Organic,Dairy,Butter,Butter whey,Protein supplements,Sports nutrition,
Organic,Meat,Fish,Fish bones,Hydroxyapatite,Bone grafting materials,
Organic,Meat,Fish,Fish bones,Calcium supplements,Dietary supplements,
Organic,Seafood,Crabs,Crab shells,Chitin,Biomedical materials,
Organic,Seafood,Crabs,Crab shells,Calcium carbonate,Industrial applications,
Organic,Beverage,Tea,Tea leaves,Compost,Soil amendment,
Organic,Beverage,Tea,Tea leaves,Natural dyes,"Food coloring, textiles",
Mechanical,Glass,Tempered glass,Glass shards,Glass shards,Abrasives,
Mechanical,Glass,Broken,Broken glass,Aggregate,Construction,
Mechanical,Plastic,Plastic Packaging Waste,PVC Pipes,Recycled PVC,Construction,
Mechanical,Leather,Belts,Leather belt scraps,Leather patchwork,Crafts,
Mechanical,Ceramic,Porcelain,Porcelain shards,Porcelain jewelry,Crafts,
Mechanical,Rubber,Used tires,Tire particules,Fuel,Energy,
Mechanic ,Electronics,Batteries,Lithium,Industrial applications,Ceramics ,
Mechanic,Plastic,Bottles,PET plastic,Pellets,New plastic products,
Mechanic,Plastic,Bottles,PET plastic,Polyester fibers,Textile manufacturing,
Mechanic,Paper,Newspapers,Recycled paper,Paper products,Stationery,
Mechanic,Paper,Newspapers,Recycled paper,Insulation material,Building ,
Mechanic,Metal,Cans ,Aluminum,Recycled aluminum,Construction Materials ,
Mechanic,Metal,Cans,Aluminum,Recycled aluminum,New cans,
Mechanic,Metal,Cans,Aluminum,Aluminum sheets,Automotive industry,
Mechanic,Glass,Bottles,Glass shards,Recycled glass,New glass products,
Mechanic,Glass,Bottles,Glass shards,Glassphalt,Road construction,
Mechanic,Textile,Cloth waste ,Cotton fabric,Recycled fibers,Textile manufacturing,
Mechanic,Textile,Cloth waste ,Cotton fabric,Insulation material,Building and construction,
Mechanic,Wood,Pallets,Wood chips,Particleboard,"Furniture, construction",
Mechanic,Wood,Pallets,Wood chips,Mulch,Landscaping,
Mechanic,Electronics,Devices,Circuit boards,Reclaimed metals,Electronics manufacturing,
Mechanic,Electronics,Devices,Circuit boards,Reclaimed plastics,New electronic casings,
Mechanic,Paper,Cardboard,Recycled cardboard,Paper products,"Packaging, stationery",
Mechanic,Paper,Cardboard,Recycled cardboard,Insulation material,Building and construction,
Mechanic,Metal,Electronics,Copper wiring,Recycled copper,New electrical components,
Mechanic,Metal,Electronics,Copper wiring,Alloy production,Industrial manufacturing,
Mechanic,Glass,Windows,Broken glass,Recycled glass,New glass products,
Mechanic,Glass,Windows,Broken glass,Glass fiber,composite materials,
Mechanic,Wood,Furniture,Wood offcuts,Particleboard,Furniture,
Mechanic,Wood,Furniture,Wood offcuts,Biochar,Soil amendment,
Mechanic,Electronics,Batteries,Lithium,Reclaimed lithium,Battery production,
Mechanic,Electronics,Batteries,Lithium,Industrial applications,Glass,
Mechanic,Plastic,Bags,HDPE plastic,Recycled pellets,New plastic products,
Mechanic,Plastic,Bags,HDPE plastic,Composite materials,"Construction, automotive industries",
Mechanic,Paper,Magazines,Glossy paper,Recycled paper,Paper products,
Mechanic,Paper,Magazines,Glossy paper,Paperboard,Packaging,
Mechanic,Metal,Pipes,Steel,Recycled steel,Construction materials,
Mechanic,Metal,Pipes,Steel,Alloy production,Industrial applications,
Mechanic,Glass,Light bulbs,Glass shards,Recycled glass,New glass products,
Mechanic,Glass,Light bulbs,Glass shards,Glassphalt,Road construction,
Mechanic,Wood,Branches,Wood chips,Particleboard,Furniture,
Mechanic,Wood,Branches,Wood chips,Biochar,Soil amendment,
Organic,Fruit,Lemon,Lemon Peels,Pectin,Food industry,
Organic,Fruit,Lemon,Lemon Peels,Essential Oil,Cleaning products,
Organic,Fruit,Lemon,Lemon Peels,Animal Feed,Livestock nutrition,
Organic,Vegetable,Pumpkin,Pumpkin Seeds,Pumpkin Seed Oil,Cosmetics,
Organic,Vegetable,Pumpkin,Pumpkin Flesh,Puree,Baking,
Organic,Vegetable,Pumpkin,Pumpkin Skin,Biofuel,Energy production,
Organic,Fruit,Pomegranate,Pomegranate Peels,Natural Dye,Textile dyeing,
Organic,Fruit,Pomegranate,Pomegranate Seeds,Seed Oil,Cosmetics,
Organic,Fruit,Pomegranate,Pomegranate Seeds,Animal Feed,Livestock nutrition,
Organic,Fruit,Papaya,Papaya Seeds,Seed Oil,Cosmetics,
Organic,Fruit,Papaya,Papaya Skins,Animal Feed,Livestock nutrition,
Organic,Fruit,Papaya,Papaya Flesh,Puree,"Food products, baking",
Organic,Vegetable,Cabbage,Cabbage Leaves,Biofuel,Energy production,
Organic,Vegetable,Cabbage,Cabbage Core,Animal Feed,Livestock nutrition,
Organic,Vegetable,Cabbage,Cabbage Leaves,Compost,Soil enrichment,
Organic,Nut,Almond,Almond Shells,Activated Charcoal,Water filtration,
Organic,Nut,Almond,Almond Hulls,Animal Feed,Livestock nutrition,
Organic,Nut,Almond,Almond Hulls,Compost,Soil enrichment,
Organic,Vegetable,Soybean,Soybean Hulls,Animal Feed,Livestock nutrition,
Organic,Vegetable,Soybean,Soybean Hulls,Biofuel,Energy production,
Organic,Vegetable,Soybean,Soybean Meal,Protein Isolate,Food products,
Organic,Fruit,Peach,Peach Pits,Biofuel,Energy production,
Organic,Fruit,Peach,Peach Pits,Activated Charcoal,Water filtration,
Organic,Fruit,Peach,Peach Flesh,Puree,Food products,
Mechanic,Metal,Copper,Copper Wiring,Recycled Copper,Electrical components,
Mechanic,Metal,Copper,Copper Wiring,Copper Sheets,Manufacturing,
Mechanic,Metal,Copper,Copper Wiring,Copper Pipes,Plumbing,
Mechanic,Wood,Wooden Pallets,Wood,Biofuel,Energy production,
Mechanic,Rubber,Car Tires,Rubber,Crumb Rubber,Playground surfaces,
Mechanic,Rubber,Car Tires,Rubber,Rubber Mulch,Landscaping,
Mechanic,Rubber,Car Tires,Rubber,Recycled Rubber Products,Manufacturing new rubber products,
Organic,Spices,Cinnamon,Cinnamon Sticks,Essential Oil,Aromatherapy,
Organic,Spices,Cinnamon,Cinnamon Bark,Natural Dye,Textile dyeing,
Organic,Herbs,Mint,Mint Stems,Compost,Soil amendment,
Organic,Herbs,Mint,Mint Leaves,Essential Oil,Aromatherapy,
Organic,Vegetable,Olive,Olive Pits,Biochar,Soil amendment,
